LastName,FirstName,DateOfBirth,IdStr,Season,Age,EndTeam,MainPos,IsCenter,IsLeftWing,IsRightWing,Country,IsCanadian,IsAmerican,IsSwedish,IsRussian,IsCzech,IsFinnish,GamesPlayed,Goals,GoalsPerGame,Assists,AssistsPerGame,ShirtNumber,ShirtNumberLargerThanForty,GoalsPredictedLassoModel
Bergeron,Patrice,1985-07-24,Bergeron_Patrice_1985-07-24,2015-16,30,BOS,C,1,0,0,CAN,1,0,0,0,0,0,80,32,0.4,36,0.45,37.0,0,23.2367679649
Berglund,Patrik,1988-06-02,Berglund_Patrik_1988-06-02,2015-16,27,STL,C,1,0,0,SWE,0,0,1,0,0,0,42,10,0.238095238095,5,0.119047619048,21.0,0,13.33225743
Bernier,Steve,1985-03-31,Bernier_Steve_1985-03-31,2015-16,30,NYI,RW,0,0,1,CAN,1,0,0,0,0,0,24,1,0.0416666666667,5,0.208333333333,16.0,0,3.14393314541
Bickell,Bryan,1986-03-09,Bickell_Bryan_1986-03-09,2015-16,29,CHI,LW,0,1,0,CAN,1,0,0,0,0,0,25,0,0.0,2,0.08,29.0,0,0.0
Biega,Alex,1988-04-04,Biega_Alex_1988-04-04,2015-16,27,VAN,D,0,0,0,CAN,1,0,0,0,0,0,51,0,0.0,7,0.137254901961,55.0,1,0.0609139470052
Bieksa,Kevin,1981-06-16,Bieksa_Kevin_1981-06-16,2015-16,34,ANA,D,0,0,0,CAN,1,0,0,0,0,0,71,4,0.056338028169,11,0.154929577465,2.0,0,1.56796319941
Bigras,Chris,1995-02-22,Bigras_Chris_1995-02-22,2015-16,20,COL,D,0,0,0,CAN,1,0,0,0,0,0,31,1,0.0322580645161,2,0.0645161290323,3.0,0,1.54144453139
Bitetto,Anthony,1990-07-15,Bitetto_Anthony_1990-07-15,2015-16,25,NSH,D,0,0,0,USA,0,1,0,0,0,0,28,1,0.0357142857143,5,0.178571428571,2.0,0,1.45791873558
Bjorkstrand,Oliver,1995-04-10,Bjorkstrand_Oliver_1995-04-10,2015-16,20,CBJ,RW,0,0,1,DNK,0,0,0,0,0,0,12,4,0.333333333333,4,0.333333333333,28.0,0,19.4656826475
Bjugstad,Nick,1992-07-17,Bjugstad_Nick_1992-07-17,2015-16,23,FLA,C,1,0,0,USA,0,1,0,0,0,0,67,15,0.223880597015,19,0.283582089552,27.0,0,14.9417745059
Blandisi,Joseph,1994-07-18,Blandisi_Joseph_1994-07-18,2015-16,21,NJD,LW,0,1,0,CAN,1,0,0,0,0,0,41,5,0.121951219512,12,0.292682926829,64.0,1,9.76088405602
Blunden,Mike,1986-12-15,Blunden_Mike_1986-12-15,2015-16,29,TBL,RW,0,0,1,CAN,1,0,0,0,0,0,20,3,0.15,2,0.1,46.0,1,7.28797142837
Bodnarchuk,Andrew,1988-07-11,Bodnarchuk_Andrew_1988-07-11,2015-16,27,COL,D,0,0,0,CAN,1,0,0,0,0,0,37,0,0.0,4,0.108108108108,41.0,1,0.0
Boedker,Mikkel,1989-12-16,Boedker_Mikkel_1989-12-16,2015-16,26,COL,LW,0,1,0,DNK,0,0,0,0,0,0,80,17,0.2125,34,0.425,89.0,1,15.3553592223
Bogosian,Zach,1990-07-15,Bogosian_Zach_1990-07-15,2015-16,25,BUF,D,0,0,0,USA,0,1,0,0,0,0,64,7,0.109375,17,0.265625,47.0,1,7.20172600847
Boll,Jared,1986-05-13,Boll_Jared_1986-05-13,2015-16,29,CBJ,RW,0,0,1,USA,0,1,0,0,0,0,30,1,0.0333333333333,2,0.0666666666667,40.0,0,1.87070654553
Bolland,Dave,1986-06-05,Bolland_Dave_1986-06-05,2015-16,29,FLA,C,1,0,0,CAN,1,0,0,0,0,0,25,1,0.04,4,0.16,63.0,1,2.6496347132
Bollig,Brandon,1987-01-31,Bollig_Brandon_1987-01-31,2015-16,28,CGY,LW,0,1,0,USA,0,1,0,0,0,0,54,2,0.037037037037,2,0.037037037037,52.0,1,2.24027742947
Bonino,Nick,1988-04-20,Bonino_Nick_1988-04-20,2015-16,27,PIT,C,1,0,0,USA,0,1,0,0,0,0,63,9,0.142857142857,20,0.31746031746,13.0,0,10.4940774317
Borowiecki,Mark,1989-07-12,Borowiecki_Mark_1989-07-12,2015-16,26,OTT,D,0,0,0,CAN,1,0,0,0,0,0,63,1,0.015873015873,1,0.015873015873,74.0,1,0.298593748285
Bortuzzo,Robert,1989-03-18,Bortuzzo_Robert_1989-03-18,2015-16,26,STL,D,0,0,0,CAN,1,0,0,0,0,0,40,2,0.05,1,0.025,41.0,1,1.05098012059
Boucher,Reid,1993-09-08,Boucher_Reid_1993-09-08,2015-16,22,NJD,LW,0,1,0,USA,0,1,0,0,0,0,39,8,0.205128205128,11,0.282051282051,12.0,0,12.8437792239
Bouma,Lance,1990-03-25,Bouma_Lance_1990-03-25,2015-16,25,CGY,C,1,0,0,CAN,1,0,0,0,0,0,44,2,0.0454545454545,5,0.113636363636,17.0,0,3.91763472181
Bourque,Gabriel,1990-09-23,Bourque_Gabriel_1990-09-23,2015-16,25,NSH,RW,0,0,1,CAN,1,0,0,0,0,0,22,1,0.0454545454545,3,0.136363636364,57.0,1,4.00158832449
Bourque,Rene,1981-12-10,Bourque_Rene_1981-12-10,2015-16,34,CBJ,RW,0,0,1,CAN,1,0,0,0,0,0,49,3,0.0612244897959,5,0.102040816327,18.0,0,2.95508903538
Bouwmeester,Jay,1983-09-27,Bouwmeester_Jay_1983-09-27,2015-16,32,STL,D,0,0,0,CAN,1,0,0,0,0,0,72,3,0.0416666666667,16,0.222222222222,19.0,0,2.08983610757
Boychuk,Johnny,1984-01-19,Boychuk_Johnny_1984-01-19,2015-16,31,NYI,D,0,0,0,CAN,1,0,0,0,0,0,70,9,0.128571428571,16,0.228571428571,55.0,1,6.45686155339
Boyes,Brad,1982-04-17,Boyes_Brad_1982-04-17,2015-16,33,TOR,RW,0,0,1,CAN,1,0,0,0,0,0,60,8,0.133333333333,16,0.266666666667,28.0,0,8.45082488787
Boyle,Brian,1984-12-18,Boyle_Brian_1984-12-18,2015-16,31,TBL,C,1,0,0,USA,0,1,0,0,0,0,76,13,0.171052631579,7,0.0921052631579,11.0,0,9.08705763338
Boyle,Dan,1976-07-12,Boyle_Dan_1976-07-12,2015-16,39,NYR,D,0,0,0,CAN,1,0,0,0,0,0,74,10,0.135135135135,14,0.189189189189,22.0,0,4.32416041186
Bozak,Tyler,1986-03-19,Bozak_Tyler_1986-03-19,2015-16,29,TOR,C,1,0,0,CAN,1,0,0,0,0,0,57,12,0.210526315789,23,0.40350877193,42.0,1,13.8793605991
Brassard,Derick,1987-09-22,Brassard_Derick_1987-09-22,2015-16,28,NYR,C,1,0,0,CAN,1,0,0,0,0,0,80,27,0.3375,31,0.3875,16.0,0,20.3151121763
Braun,Justin,1987-02-10,Braun_Justin_1987-02-10,2015-16,28,SJS,D,0,0,0,USA,0,1,0,0,0,0,80,4,0.05,19,0.2375,61.0,1,4.12850882471
Brickley,Connor,1992-02-25,Brickley_Connor_1992-02-25,2015-16,23,FLA,C,1,0,0,USA,0,1,0,0,0,0,23,1,0.0434782608696,4,0.173913043478,86.0,1,4.34056388491
Brodie,TJ,1990-06-07,Brodie_TJ_1990-06-07,2015-16,25,CGY,D,0,0,0,CAN,1,0,0,0,0,0,70,6,0.0857142857143,39,0.557142857143,7.0,0,8.95742064844
Brodin,Jonas,1993-07-12,Brodin_Jonas_1993-07-12,2015-16,22,MIN,D,0,0,0,SWE,0,0,1,0,0,0,68,2,0.0294117647059,5,0.0735294117647,25.0,0,3.68107663191
Brodziak,Kyle,1984-05-25,Brodziak_Kyle_1984-05-25,2015-16,31,STL,C,1,0,0,CAN,1,0,0,0,0,0,76,7,0.0921052631579,4,0.0526315789474,28.0,0,5.15741797547
Brouwer,Troy,1985-08-17,Brouwer_Troy_1985-08-17,2015-16,30,STL,RW,0,0,1,CAN,1,0,0,0,0,0,82,18,0.219512195122,21,0.256097560976,36.0,0,13.7903666059
Brown,Dustin,1984-11-04,Brown_Dustin_1984-11-04,2015-16,31,LAK,RW,0,0,1,USA,0,1,0,0,0,0,82,11,0.134146341463,17,0.207317073171,23.0,0,9.23628802186
Brown,J.T.,1990-07-02,Brown_J.T._1990-07-02,2015-16,25,TBL,RW,0,0,1,USA,0,1,0,0,0,0,78,8,0.102564102564,14,0.179487179487,23.0,0,8.87205090077
Brown,Mike,1985-06-24,Brown_Mike_1985-06-24,2015-16,30,MTL,RW,0,0,1,USA,0,1,0,0,0,0,58,2,0.0344827586207,3,0.051724137931,13.0,0,2.59024705582
Burakovsky,Andre,1995-02-09,Burakovsky_Andre_1995-02-09,2015-16,20,WSH,LW,0,1,0,AUT,0,0,0,0,0,0,79,17,0.215189873418,21,0.26582278481,65.0,1,15.3729349546
Burmistrov,Alexander,1991-10-21,Burmistrov_Alexander_1991-10-21,2015-16,24,WPG,C,1,0,0,RUS,0,0,0,1,0,0,81,7,0.0864197530864,14,0.172839506173,6.0,0,9.0043451827
Burns,Brent,1985-03-09,Burns_Brent_1985-03-09,2015-16,30,SJS,D,0,0,0,CAN,1,0,0,0,0,0,82,27,0.329268292683,48,0.585365853659,88.0,1,19.6289106315
Burrows,Alexandre,1981-04-11,Burrows_Alexandre_1981-04-11,2015-16,34,VAN,RW,0,0,1,CAN,1,0,0,0,0,0,79,9,0.113924050633,13,0.164556962025,14.0,0,7.06245150977
Byfuglien,Dustin,1985-03-27,Byfuglien_Dustin_1985-03-27,2015-16,30,WPG,D,0,0,0,USA,0,1,0,0,0,0,81,19,0.234567901235,34,0.41975308642,33.0,0,13.5022352922
Byron,Paul,1989-04-27,Byron_Paul_1989-04-27,2015-16,26,MTL,LW,0,1,0,CAN,1,0,0,0,0,0,62,11,0.177419354839,7,0.112903225806,41.0,1,10.0770800609
Callahan,Ryan,1985-03-21,Callahan_Ryan_1985-03-21,2015-16,30,TBL,RW,0,0,1,USA,0,1,0,0,0,0,73,10,0.13698630137,18,0.246575342466,24.0,0,9.64966926815
Calvert,Matt,1989-12-24,Calvert_Matt_1989-12-24,2015-16,26,CBJ,LW,0,1,0,CAN,1,0,0,0,0,0,73,11,0.150684931507,13,0.178082191781,11.0,0,9.69242850998
Cammalleri,Michael,1982-06-08,Cammalleri_Michael_1982-06-08,2015-16,33,NJD,LW,0,1,0,CAN,1,0,0,0,0,0,42,14,0.333333333333,24,0.571428571429,13.0,0,18.8144306075
Campbell,Brian,1979-05-23,Campbell_Brian_1979-05-23,2015-16,36,FLA,D,0,0,0,CAN,1,0,0,0,0,0,82,6,0.0731707317073,25,0.30487804878,51.0,1,3.93019849525
Campbell,Gregory,1983-12-17,Campbell_Gregory_1983-12-17,2015-16,32,CBJ,C,1,0,0,CAN,1,0,0,0,0,0,82,3,0.0365853658537,8,0.0975609756098,9.0,0,3.07850730242
Carle,Matthew,1984-09-25,Carle_Matthew_1984-09-25,2015-16,31,TBL,D,0,0,0,USA,0,1,0,0,0,0,64,2,0.03125,7,0.109375,25.0,0,0.47276474385
Carlson,John,1990-01-10,Carlson_John_1990-01-10,2015-16,25,WSH,D,0,0,0,USA,0,1,0,0,0,0,56,8,0.142857142857,31,0.553571428571,74.0,1,11.1914990925
Carr,Daniel,1991-11-01,Carr_Daniel_1991-11-01,2015-16,24,MTL,LW,0,1,0,CAN,1,0,0,0,0,0,23,6,0.260869565217,3,0.130434782609,43.0,1,13.0141666595
Carrick,Connor,1994-04-13,Carrick_Connor_1994-04-13,2015-16,21,TOR,D,0,0,0,USA,0,1,0,0,0,0,19,2,0.105263157895,2,0.105263157895,8.0,0,4.51683945343
Carter,Jeff,1985-01-01,Carter_Jeff_1985-01-01,2015-16,30,LAK,C,1,0,0,CAN,1,0,0,0,0,0,77,24,0.311688311688,38,0.493506493506,77.0,1,19.806477672
Carter,Ryan,1983-08-03,Carter_Ryan_1983-08-03,2015-16,32,MIN,LW,0,1,0,USA,0,1,0,0,0,0,60,7,0.116666666667,5,0.0833333333333,18.0,0,5.27955665404
Catenacci,Daniel,1993-03-09,Catenacci_Daniel_1993-03-09,2015-16,22,BUF,C,1,0,0,CAN,1,0,0,0,0,0,11,0,0.0,0,0.0,43.0,1,0.495471438854
Ceci,Cody,1993-12-21,Ceci_Cody_1993-12-21,2015-16,22,OTT,D,0,0,0,CAN,1,0,0,0,0,0,75,10,0.133333333333,16,0.213333333333,5.0,0,8.69545326397
Chara,Zdeno,1977-03-18,Chara_Zdeno_1977-03-18,2015-16,38,BOS,D,0,0,0,SVK,0,0,0,0,0,0,80,9,0.1125,28,0.35,33.0,0,5.33664532485
Chiarot,Ben,1991-05-09,Chiarot_Ben_1991-05-09,2015-16,24,WPG,D,0,0,0,CAN,1,0,0,0,0,0,70,1,0.0142857142857,9,0.128571428571,7.0,0,1.84460794207
Chiasson,Alex,1990-10-01,Chiasson_Alex_1990-10-01,2015-16,25,OTT,RW,0,0,1,CAN,1,0,0,0,0,0,77,8,0.103896103896,6,0.0779220779221,90.0,1,8.14101388164
Chimera,Jason,1979-05-02,Chimera_Jason_1979-05-02,2015-16,36,WSH,LW,0,1,0,CAN,1,0,0,0,0,0,82,20,0.243902439024,20,0.243902439024,25.0,0,12.3993466983
Chipchura,Kyle,1986-02-19,Chipchura_Kyle_1986-02-19,2015-16,29,ARI,C,1,0,0,CAN,1,0,0,0,0,0,70,4,0.0571428571429,8,0.114285714286,24.0,0,4.44830940377
Chorney,Taylor,1987-04-27,Chorney_Taylor_1987-04-27,2015-16,28,WSH,D,0,0,0,CAN,1,0,0,0,0,0,55,1,0.0181818181818,5,0.0909090909091,4.0,0,0.104322443408
Cizikas,Casey,1991-02-27,Cizikas_Casey_1991-02-27,2015-16,24,NYI,C,1,0,0,CAN,1,0,0,0,0,0,80,8,0.1,21,0.2625,53.0,1,9.64682416358
Claesson,Fredrik,1992-11-24,Claesson_Fredrik_1992-11-24,2015-16,23,OTT,D,0,0,0,SWE,0,0,1,0,0,0,16,0,0.0,2,0.125,49.0,1,0.87628568292
Clarkson,David,1984-03-31,Clarkson_David_1984-03-31,2015-16,31,CBJ,RW,0,0,1,CAN,1,0,0,0,0,0,23,2,0.0869565217391,2,0.0869565217391,23.0,0,3.72021807707
Clendening,Adam,1992-10-26,Clendening_Adam_1992-10-26,2015-16,23,EDM,D,0,0,0,USA,0,1,0,0,0,0,29,1,0.0344827586207,6,0.206896551724,27.0,0,2.2064537117
Clifford,Kyle,1991-01-13,Clifford_Kyle_1991-01-13,2015-16,24,LAK,LW,0,1,0,CAN,1,0,0,0,0,0,56,3,0.0535714285714,6,0.107142857143,13.0,0,4.49107105485
Clune,Rich,1987-04-25,Clune_Rich_1987-04-25,2015-16,28,TOR,LW,0,1,0,CAN,1,0,0,0,0,0,19,0,0.0,4,0.210526315789,25.0,0,0.702331551054
Clutterbuck,Cal,1987-11-18,Clutterbuck_Cal_1987-11-18,2015-16,28,NYI,RW,0,0,1,CAN,1,0,0,0,0,0,77,15,0.194805194805,8,0.103896103896,15.0,0,11.5094959332
Coburn,Braydon,1985-02-27,Coburn_Braydon_1985-02-27,2015-16,30,TBL,D,0,0,0,CAN,1,0,0,0,0,0,80,1,0.0125,9,0.1125,55.0,1,0.741449087112
Cogliano,Andrew,1987-06-14,Cogliano_Andrew_1987-06-14,2015-16,28,ANA,LW,0,1,0,CAN,1,0,0,0,0,0,82,9,0.109756097561,23,0.280487804878,7.0,0,8.6930904692
Colaiacovo,Carlo,1983-01-27,Colaiacovo_Carlo_1983-01-27,2015-16,32,BUF,D,0,0,0,CAN,1,0,0,0,0,0,36,1,0.0277777777778,4,0.111111111111,25.0,0,0.0
Colborne,Joe,1990-01-30,Colborne_Joe_1990-01-30,2015-16,25,CGY,C,1,0,0,CAN,1,0,0,0,0,0,73,19,0.260273972603,25,0.342465753425,8.0,0,16.8821400667
Cole,Ian,1989-02-21,Cole_Ian_1989-02-21,2015-16,26,PIT,D,0,0,0,USA,0,1,0,0,0,0,70,0,0.0,12,0.171428571429,28.0,0,1.12574479808
Comeau,Blake,1986-02-18,Comeau_Blake_1986-02-18,2015-16,29,COL,LW,0,1,0,CAN,1,0,0,0,0,0,81,12,0.148148148148,24,0.296296296296,14.0,0,10.2875491635
Condra,Erik,1986-08-06,Condra_Erik_1986-08-06,2015-16,29,TBL,RW,0,0,1,USA,0,1,0,0,0,0,54,6,0.111111111111,5,0.0925925925926,22.0,0,6.52389820901
Connauton,Kevin,1990-02-23,Connauton_Kevin_1990-02-23,2015-16,25,ARI,D,0,0,0,CAN,1,0,0,0,0,0,65,5,0.0769230769231,12,0.184615384615,44.0,1,4.99703338477
Connolly,Brett,1992-05-02,Connolly_Brett_1992-05-02,2015-16,23,BOS,RW,0,0,1,CAN,1,0,0,0,0,0,71,9,0.12676056338,16,0.225352112676,14.0,0,10.6305727939
Copp,Andrew,1994-07-08,Copp_Andrew_1994-07-08,2015-16,21,WPG,C,1,0,0,USA,0,1,0,0,0,0,77,7,0.0909090909091,6,0.0779220779221,9.0,0,7.84555474696
Corrado,Frank,1993-03-26,Corrado_Frank_1993-03-26,2015-16,22,TOR,D,0,0,0,CAN,1,0,0,0,0,0,39,1,0.025641025641,5,0.128205128205,20.0,0,1.67127247862
Cousins,Nick,1993-07-20,Cousins_Nick_1993-07-20,2015-16,22,PHI,C,1,0,0,CAN,1,0,0,0,0,0,36,6,0.166666666667,5,0.138888888889,52.0,1,10.2742939965
Couture,Logan,1989-03-28,Couture_Logan_1989-03-28,2015-16,26,SJS,C,1,0,0,CAN,1,0,0,0,0,0,52,15,0.288461538462,21,0.403846153846,39.0,0,17.7031997614
Couturier,Sean,1992-12-07,Couturier_Sean_1992-12-07,2015-16,23,PHI,C,1,0,0,USA,0,1,0,0,0,0,63,11,0.174603174603,28,0.444444444444,14.0,0,14.1336405499
Cowen,Jared,1991-01-25,Cowen_Jared_1991-01-25,2015-16,24,OTT,D,0,0,0,CAN,1,0,0,0,0,0,37,0,0.0,4,0.108108108108,29.0,0,0.0
Coyle,Charlie,1992-03-02,Coyle_Charlie_1992-03-02,2015-16,23,MIN,C,1,0,0,USA,0,1,0,0,0,0,82,21,0.256097560976,21,0.256097560976,3.0,0,16.6903946768
Cracknell,Adam,1985-07-15,Cracknell_Adam_1985-07-15,2015-16,30,EDM,RW,0,0,1,CAN,1,0,0,0,0,0,52,5,0.0961538461538,5,0.0961538461538,22.0,0,5.56474417318
Crosby,Sidney,1987-08-07,Crosby_Sidney_1987-08-07,2015-16,28,PIT,C,1,0,0,CAN,1,0,0,0,0,0,80,36,0.45,49,0.6125,87.0,1,27.7787494598
Cullen,Matt,1976-11-02,Cullen_Matt_1976-11-02,2015-16,39,PIT,C,1,0,0,USA,0,1,0,0,0,0,82,16,0.19512195122,16,0.19512195122,7.0,0,9.42536287784
Cunningham,Craig,1990-09-13,Cunningham_Craig_1990-09-13,2015-16,25,ARI,LW,0,1,0,CAN,1,0,0,0,0,0,10,0,0.0,1,0.1,22.0,0,0.0298456534634
Dahlbeck,Klas,1991-07-06,Dahlbeck_Klas_1991-07-06,2015-16,24,ARI,D,0,0,0,SWE,0,0,1,0,0,0,71,2,0.0281690140845,6,0.0845070422535,34.0,0,3.35307136082
Daley,Trevor,1983-10-09,Daley_Trevor_1983-10-09,2015-16,32,PIT,D,0,0,0,CAN,1,0,0,0,0,0,82,6,0.0731707317073,22,0.268292682927,6.0,0,4.32951271446
Danault,Phillip,1993-02-24,Danault_Phillip_1993-02-24,2015-16,22,MTL,LW,0,1,0,CAN,1,0,0,0,0,0,51,4,0.078431372549,6,0.117647058824,24.0,0,6.01267588297
Dano,Marko,1994-11-30,Dano_Marko_1994-11-30,2015-16,21,WPG,C,1,0,0,AUT,0,0,0,0,0,0,34,5,0.147058823529,5,0.147058823529,56.0,1,9.64263293092
Datsyuk,Pavel,1978-07-20,Datsyuk_Pavel_1978-07-20,2015-16,37,DET,C,1,0,0,RUS,0,0,0,1,0,0,66,16,0.242424242424,33,0.5,13.0,0,15.4176462989
Davidson,Brandon,1991-08-21,Davidson_Brandon_1991-08-21,2015-16,24,EDM,D,0,0,0,CAN,1,0,0,0,0,0,51,4,0.078431372549,7,0.137254901961,88.0,1,4.32298483224
de Haan,Calvin,1991-05-09,de Haan_Calvin_1991-05-09,2015-16,24,NYI,D,0,0,0,CAN,1,0,0,0,0,0,72,2,0.0277777777778,14,0.194444444444,44.0,1,3.39439971018
De La Rose,Jacob,1995-05-20,De La Rose_Jacob_1995-05-20,2015-16,20,MTL,LW,0,1,0,SWE,0,0,1,0,0,0,22,0,0.0,1,0.0454545454545,25.0,0,2.45844635319
DeKeyser,Danny,1990-03-07,DeKeyser_Danny_1990-03-07,2015-16,25,DET,D,0,0,0,USA,0,1,0,0,0,0,78,8,0.102564102564,12,0.153846153846,65.0,1,6.34275944064
